movie_id,count
tangled-2010,131
the-most-dangerous-game,19
leprechaun-3,16
images,19
i-feel-pretty,36
they-came-together,42
thor-the-dark-world,128
johnny-english-reborn,33
partysaurus-rex,15
sherlock-the-abominable-bride,27
chud,19
lincoln,74
jerry-maguire,69
midnight-run,31
my-super-ex-girlfriend,21
my-man-godfrey,26
the-immigrant,16
the-revenant-2015,113
the-silence-2019,19
chimes-at-midnight,29
empire-of-the-sun,33
highlander,30
paranoid-park,24
star-wars,153
jawbreaker,34
stories-we-tell,23
annie,51
the-curse-of-frankenstein,20
hitman-agent-47,16
whiplash-2013,37
hairspray,32
mermaids,23
i-am-love,23
the-midnight-sky,30
amour,48
animal-kingdom,25
elle,62
the-maze-runner,90
windfall,41
the-royal-tenenbaums,136
the-new-york-ripper,21
parental-guidance-2012,16
nosferatu,71
lost-in-space,16
doctor-who-the-runaway-bride,16
suzume,40
legend-2015,46
loki-2021,62
rugrats-go-wild,17
watchmen-2019,37
marriage-story-2019,143
jersey-boys,28
american-psycho-ii-all-american-girl,16
fallen-angels,77
thunderball,35
cool-runnings,41
the-unbelievable-truth,15
la-luna-2011,46
happy-death-day,99
the-shape-of-water,134
ready-player-one,120
storks,30
lemonade-2016,53
the-others,71
under-the-banner-of-heaven,22
the-innocents,38
and-then-we-danced,33
percy-jackson-sea-of-monsters,41
hollywood-shuffle,15
lovesong-2016,34
angel-heart,29
lady-chatterleys-lover-2022,22
beethovens-2nd,21
scooby-doo-and-the-legend-of-the-vampire,19
sorority-row,24
the-great-silence,29
police-story-3-super-cop,23
dreamgirls,40
rise-of-the-guardians,54
saw-iii,65
hotel-by-the-river,15
robin-hood-2018,34
maelstrom,15
love-in-the-afternoon-1972,24
hillbilly-elegy,50
starstruck-2010,38
king-kong-1976,20
we-have-a-ghost,23
edge-of-darkness-2010,15
bottle-rocket-1996,91
kill-bill-vol-2,125
the-united-states-vs-billie-holiday,25
hot-shots-part-deux,18
halloweentown,52
enemy-at-the-gates,23
jules-and-jim,35
get-hard,30
the-woman-king,66
latalante,25
the-other-boleyn-girl,24
the-little-guy,17
star-wars-the-clone-wars,46
mickey-donald-goofy-the-three-musketeers,17
non-stop-2014,59
the-walk-2015,41
stuber,33
1941,27
other-people,25
a-day-in-the-country,18
barking-dogs-never-bite,27
the-man-who-fell-to-earth,29
manos-the-hands-of-fate,15
black-rain,19
sunset-boulevard,94
match-point,33
the-meetings-of-anna,22
sallie-gardner-at-a-gallop,31
the-weekend-away,18
them,17
zathura-a-space-adventure,65
the-testament-of-dr-mabuse,20
dumbo-2019,63
obi-wan-kenobi,46
dead-poets-society,115
the-neighbors-window,23
the-pink-panther-1963,15
central-intelligence,54
how-to-be-single,39
pandoras-box,20
meet-the-robinsons,83
wendell-wild,57
days-of-thunder,36
kumiko-the-treasure-hunter,19
the-uninvited,15
the-campaign,43
popstar-never-stop-never-stopping,108
only-the-brave-2017,27
evil-dead-rise,90
a-nightmare-on-elm-street-3-dream-warriors,60
cow-2021,18
bo-burnham-words-words-words,19
texas-chainsaw-massacre,64
victor-frankenstein,23
blade-trinity,41
the-hunger-games-mockingjay-part-1,117
the-lawnmower-man,15
xxx,35
isle-of-dogs-2018,123
holy-spider,27
brazil,61
the-lady-from-shanghai,43
2001-a-space-odyssey,125
lady-macbeth,50
what-time-is-it-there,19
open-water,22
navalny,26
moxie-2021,35
slither,40
damsel-2018,21
firestarter,23
moonfall,50
roundhay-garden-scene,30
jacobs-ladder,44
50-first-dates,87
shaun-of-the-dead,140
starsky-hutch,36
crawl-2019,74
ice-age-the-meltdown,95
end-of-days,19
the-matrix-reloaded,111
the-great-beauty,30
accepted,45
we-can-be-heroes-2020,23
captain-america-civil-war,147
the-princess-and-the-frog,102
robocop-2,25
the-young-girls-of-rochefort,64
senna,15
top-secret,29
the-player,64
bohemian-rhapsody,122
cry-macho,37
the-super-mario-bros-movie,98
chef,78
the-vampire-lovers,15
song-of-the-sea,46
book-of-shadows-blair-witch-2,34
fantastic-beasts-the-crimes-of-grindelwald,81
reservoir-dogs,132
christmas-with-the-kranks,44
get-him-to-the-greek,43
shadow-in-the-cloud,27
apur-sansar,23
eighth-grade,129
the-edge,15
naked-lunch,41
ugetsu,35
love-rosie,53
to-each-his-own-cinema,15
swamp-thing,19
love-death-robots-fish-night,17
the-wild-goose-lake,22
lou-2017,27
straight-outta-compton,70
the-reef,17
crossroads-2002,17
a-cinderella-story,65
ghost-world,70
if-i-stay,32
time-2020,45
vampyr,38
conquest-of-the-planet-of-the-apes,18
shang-chi-and-the-legend-of-the-ten-rings,114
twin-peaks-the-return,50
the-art-of-getting-by,26
black-mirror-playtest,65
compartment-no-6,15
on-flux-2005,24
the-guest-2014,72
lyle-lyle-crocodile,18
alice-in-wonderland-2010,120
much-ado-about-nothing-2012,24
the-human-centipede-first-sequence,45
the-assignment-2016,16
pump-up-the-volume,16
12-angry-men,114
sudden-death,16
the-simpsons-movie,104
predator,76
xanadu,21
scouts-guide-to-the-zombie-apocalypse,18
a-very-murray-christmas,33
frequency,15
beyond-the-black-rainbow,25
kwaidan,29
flatliners-2017,25
two-days-one-night,37
antebellum,34
children-of-the-corn,36
rocky-balboa,45
moana-2016,134
tar-2022,135
gremlins,99
lars-and-the-real-girl,82
charlies-angels-full-throttle,59
what-ever-happened-to-baby-jane,58
the-cremator,19
love-death-robots-shape-shifters,16
light-sleeper,27
american-splendor,18
i-know-where-im-going,21
a-town-called-panic,19
the-water-horse,28
hud,16
oj-made-in-america,36
come-together-2016-2,25
deadpool-no-good-deed,20
descendants-2,24
polar-2019,27
babyteeth,43
chasing-amy,49
mad-max,59
idle-hands,17
kazaam,18
the-tuxedo,24
igor,18
vivarium,49
the-brood,52
blindspotting,73
theyll-love-me-when-im-dead,20
after-yang,83
love-death-robots-three-robots,25
school-daze,21
alice-in-wonderland-1951,115
food-inc,17
che-part-one,16
antoine-and-colette,22
world-war-z,94
the-illusionist,34
the-wrong-trousers,39
made-of-honor,23
the-last-laugh,22
framing-britney-spears,33
zombieland,126
the-holiday,78
not-okay,80
along-the-coast,19
the-new-romantic,15
everything-everything,26
catch-me-if-you-can-2002,125
let-me-in,44
7-days-in-hell,32
smiley-face,36
plane-2023,40
the-blues-brothers,55
scary-movie-2000,89
charlie-and-the-chocolate-factory,130
big-trouble-in-little-china,63
alien-3,79
hitch-2005,56
the-idiots,17
crazy-stupid-love,120
day-shift-2022,45
blue-valentine,91
demolition-man,42
2036-nexus-dawn,21
spy,78
cool-hand-luke,44
revolutionary-road,47
shazam,117
leviathan-2012,19
baywatch,59
a-man-for-all-seasons,15
the-worlds-end,113
color-out-of-space,46
scarecrow,24
wanted-2008,57
jackass-45,33
the-lost-world-jurassic-park,96
honey-we-shrunk-ourselves,19
my-fair-lady,47
a-nightmare-on-elm-street-part-2-freddys-revenge,63
deep-cover,36
jackass-25,19
ravenous,26
silent-house,18
the-dirties,29
black-mirror-mazey-day,35
homefront,21
a-fistful-of-dollars,52
the-girl-with-the-dragon-tattoo-2011,108
zack-and-miri-make-a-porno,46
annihilation,132
the-menu-2022,147
cleo-from-5-to-7,82
grand-hotel,25
star-trek-iii-the-search-for-spock,20
a-woman-under-the-influence,60
dont-look-up-2021,138
guns-akimbo,35
mighty-joe-young-1998,15
fright-night,42
mary-shelleys-frankenstein,21
fyre-fraud,16
serendipity,28
personal-shopper,71
seth-rogens-hilarity-for-charity,16
old-joy,42
the-gambler-2014,19
cronos,40
the-family-stone,25
snatch,85
star-trek-the-motion-picture,30
shithouse,51
star-trek,92
monty-python-and-the-holy-grail,98
over-the-hedge,83
purple-hearts-2022,21
alpha-and-omega,17
monster-hunter-2020,31
american-gangster,46
amy-2015,50
hester-street,15
whos-afraid-of-virginia-woolf,54
notes-on-a-scandal,27
pompeii,32
carrie-2013,60
tears-of-the-sun,16
oculus,57
normal-people-2020,57
starlet,20
tin-toy,30
the-howling,30
a-pigeon-sat-on-a-branch-reflecting-on-existence,17
the-hourglass-sanatorium,16
the-intruder-2019,21
zack-snyders-justice-league,94
vengeance-2022,36
stranger-by-the-lake,29
jonah-hex,22
worlds-greatest-dad,16
brigsby-bear,44
platoon,64
one-hundred-and-one-dalmatians,105
80-for-brady,37
the-one-i-love-2014,43
zoolander,103
22-jump-street,112
big-time-adolescence,37
parasite-2019,166
mystic-pizza,27
enemy-of-the-state,39
snow-dogs,26
alita-battle-angel,79
man-of-steel,120
see-no-evil-2006,17
little-fockers,39
valley-of-the-dolls,16
shiva-baby,15
maverick,16
good-morning-vietnam,44
raya-and-the-last-dragon,71
adam-sandler-100-fresh,16
the-final-destination,52
lean-on-pete,52
the-last-dance-2020,29
faults,25
emily-2022,21
for-your-consideration,19
riddick,28
freaky,77
hot-rod,74
the-phantom,16
black-hawk-down,51
twentieth-century,16
days-of-heaven,66
the-living-daylights,34
written-on-the-wind,26
model-shop,15
meshes-of-the-afternoon,56
indiana-jones-and-the-temple-of-doom,110
return-to-seoul,30
the-greatest-beer-run-ever,17
silent-night-deadly-night,25
us-again-2021,19
hail-satan,21
diary-of-a-wimpy-kid-the-long-haul,22
the-adam-project,58
run-lola-run,56
a-good-person-2023,27
rogue-one-a-star-wars-story,140
son-of-the-mask,32
friday-the-13th-part-vii-the-new-blood,38
spies-in-disguise,32
insidious-chapter-3,46
dead-man,38
europa-report,17
yentl,15
cape-fear,25
half-baked,19
the-king-of-kong-a-fistful-of-quarters,15
star-wars-the-force-awakens,145
the-monster-2016,17
evil-dead,94
hackers,27
runaway-bride,26
there-will-be-blood,132
late-spring,36
drive-my-car,101
irreversible,49
the-in-laws,15
the-fire-within,15
marcel-the-shell-with-shoes-on-three,20
45-years,34
wildlife-2018,66
borat-cultural-learnings-of-america-for-make-benefit-glorious-nation-of-kazakhstan,95
the-exorcism-of-emily-rose,34
the-matrix,152
yogi-bear,27
xxx-state-of-the-union,18
fantasia-2000,46
robot-frank,18
the-chorus,15
whos-that-knocking-at-my-door,27
annie-2014,24
arctic-2018,20
the-warriors,43
the-bfg-2016,60
black-narcissus,41
serenity,29
sleepaway-camp,47
black-mirror-black-museum,53
last-days,20
a-prophet,20
into-the-forest,23
lets-scare-jessica-to-death,20
black-panther-wakanda-forever,113
v-h-s-2,33
fired-up,15
sleeping-beauty,99
trespass-against-us,15
wiener-dog,28
outbreak,25
the-skeleton-dance,28
p2,16
bird-box,93
no-direction-home-bob-dylan,15
red-state,25
plan-b-2021,27
the-blackcoats-daughter,43
duck-soup-1933,40
the-stepford-wives,26
unfaithful,20
