movie_id,image_url,movie_title,year_released
oppenheimer-2023,film-poster/7/8/4/3/2/8/784328-oppenheimer-0-230-0-345-crop,Oppenheimer,2023
pusher-ii,sm/upload/rz/wz/st/bn/gfa7STxdOTqAWijSytswpdT535I-0-230-0-345-crop,Pusher II,2004
barbie,film-poster/2/7/7/0/6/4/277064-barbie-0-230-0-345-crop,Barbie,2023
pusher,sm/upload/r0/7x/rh/jz/auG6gLxJwl2SkQpnfLqR5WFoqOa-0-230-0-345-crop,Pusher,1996
asteroid-city,film-poster/6/6/8/5/5/5/668555-asteroid-city-0-230-0-345-crop,Asteroid City,2023
the-princess-diaries-2-royal-engagement,sm/upload/r6/9y/js/f0/w9Z7A0GHEhIp7etpj0vyKOeU1Wx-0-230-0-345-crop,The Princess Diaries 2: Royal Engagement,2004
arrival-2016,sm/upload/3u/dy/qd/qd/4Iu5f2nv7huqvuYkmZvSPOtbFjs-0-230-0-345-crop,Arrival,2016
inside-llewyn-davis,film-poster/7/3/3/6/7/73367-inside-llewyn-davis-0-230-0-345-crop,Inside Llewyn Davis,2013
but-im-a-cheerleader,film-poster/3/8/8/0/0/38800-but-i-m-a-cheerleader-0-230-0-345-crop,But I'm a Cheerleader,1999
fire-of-love-2022,film-poster/8/1/9/8/6/3/819863-fire-of-love-0-230-0-345-crop,Fire of Love,2022
toy-story-2,film-poster/5/1/2/8/9/51289-toy-story-2-0-230-0-345-crop,Toy Story 2,1999
la-haine,film-poster/5/1/6/8/4/51684-la-haine-0-230-0-345-crop,La Haine,1995
the-hunt-2012,film-poster/8/4/0/5/1/84051-the-hunt-0-230-0-345-crop,The Hunt,2012
mind-game,film-poster/3/8/2/4/8/38248-mind-game-0-230-0-345-crop,Mind Game,2004
beef-2023,film-poster/9/9/6/9/2/5/996925-beef-0-230-0-345-crop,BEEF,2023
chernobyl,film-poster/5/3/2/0/8/2/532082-chernobyl-0-230-0-345-crop,Chernobyl,2019
renfield,film-poster/5/7/5/2/5/8/575258-renfield-0-230-0-345-crop,Renfield,2023
air-2023,film-poster/8/6/8/4/9/1/868491-air-0-230-0-345-crop,Air,2023
rocky,sm/upload/4z/ql/93/vq/2Zyuxm4fgCPKlnIdieHg7tfbxMS-0-230-0-345-crop,Rocky,1976
barbarian-2022,film-poster/8/1/9/6/4/8/819648-barbarian-0-230-0-345-crop,Barbarian,2022
12-years-a-slave,film-poster/6/2/6/7/1/62671-12-years-a-slave-0-230-0-345-crop,12 Years a Slave,2013
minding-the-gap,film-poster/4/2/0/4/5/6/420456-minding-the-gap-0-230-0-345-crop,Minding the Gap,2018
frances-ha,film-poster/9/6/0/8/3/96083-frances-ha-0-230-0-345-crop,Frances Ha,2012
fallen-angels,film-poster/4/5/4/8/9/45489-fallen-angels-0-230-0-345-crop,Fallen Angels,1995
news-from-home,film-poster/7/3/3/8/2/73382-news-from-home-0-230-0-345-crop,News from Home,1976
the-fabelmans,film-poster/7/2/1/2/8/8/721288-the-fabelmans-0-230-0-345-crop,The Fabelmans,2022
tar-2022,film-poster/7/3/4/0/9/6/734096-tar-0-230-0-345-crop,TÁR,2022
puss-in-boots-the-last-wish,film-poster/2/4/2/2/8/5/242285-puss-in-boots-the-last-wish-0-230-0-345-crop,Puss in Boots: The Last Wish,2022
triangle-of-sadness,film-poster/4/2/7/9/7/0/427970-triangle-of-sadness-0-230-0-345-crop,Triangle of Sadness,2022
marcel-the-shell-with-shoes-on-2021,film-poster/7/8/1/3/2/6/781326-marcel-the-shell-with-shoes-on-0-230-0-345-crop,Marcel the Shell with Shoes On,2021
the-menu-2022,film-poster/5/2/1/3/2/3/521323-the-menu-0-230-0-345-crop,The Menu,2022
the-banshees-of-inisherin,film-poster/5/9/8/8/8/2/598882-the-banshees-of-inisherin-0-230-0-345-crop,The Banshees of Inisherin,2022
eight-legged-freaks,film-poster/4/7/5/5/5/47555-eight-legged-freaks-0-230-0-345-crop,Eight Legged Freaks,2002
this-place-rules,film-poster/9/2/3/2/0/7/923207-this-place-rules-0-230-0-345-crop,This Place Rules,2022
glass-onion,film-poster/5/8/6/7/2/3/586723-glass-onion-a-knives-out-mystery-0-230-0-345-crop,Glass Onion,2022
the-twilight-saga-breaking-dawn-part-2,film-poster/1/5/0/7/6/15076-the-twilight-saga-breaking-dawn-part-2-0-230-0-345-crop,The Twilight Saga: Breaking Dawn – Part 2,2012
the-twilight-saga-breaking-dawn-part-1,film-poster/1/5/0/7/7/15077-the-twilight-saga-breaking-dawn-part-1-0-230-0-345-crop,The Twilight Saga: Breaking Dawn – Part 1,2011
the-twilight-saga-eclipse,film-poster/3/7/0/8/8/37088-the-twilight-saga-eclipse-0-230-0-345-crop,The Twilight Saga: Eclipse,2010
